Creditability,Customer ID ,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex,Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
0,773,2,36,2,5,2384,1,2,4,0,3,1,1,4,33,3,1,1,2,1,647,1
0,1509,1,18,2,0,1216,1,2,4,0,2,1,3,3,23,3,1,1,3,1,403,1
0,1573,4,18,4,6,1864,2,3,4,1,2,1,2,1,30,3,2,2,3,1,403,1
0,3173,2,36,3,9,4455,1,3,2,0,1,1,2,1,30,2,2,2,4,1,647,1
0,3589,1,15,2,0,3959,1,3,3,0,2,1,2,2,29,3,2,1,3,1,403,1
0,5125,2,48,1,9,6416,1,5,4,0,2,1,3,4,59,3,1,1,3,1,647,1
0,5541,1,12,2,0,1228,1,3,4,0,2,1,2,1,24,3,2,1,2,1,647,1
0,7557,2,12,2,0,685,1,4,2,0,4,1,3,3,25,1,2,1,2,1,403,1
0,9797,3,9,2,3,745,1,3,3,1,2,1,2,1,28,3,2,1,2,1,403,1
0,11365,1,12,4,0,3499,1,3,3,0,2,2,2,1,29,3,2,2,3,1,647,1
0,12101,1,12,0,5,1108,1,4,4,0,3,1,3,1,28,3,2,2,3,1,403,1
0,12421,2,9,2,2,918,1,3,4,0,2,1,1,2,30,3,2,1,3,1,403,1
0,13733,2,9,4,6,1501,1,5,2,0,2,1,3,3,34,3,2,2,4,1,403,1
0,13861,4,12,3,5,1555,4,5,4,1,3,1,4,4,55,3,3,2,3,2,647,1
0,14469,2,12,2,3,766,3,3,4,0,3,1,3,1,66,3,2,1,2,1,403,1
0,14885,1,28,2,0,4006,1,3,3,0,3,1,2,3,45,3,2,1,2,1,403,1
0,16613,4,36,2,6,1819,1,3,4,1,3,1,4,4,37,2,3,1,3,1,403,1
0,16645,4,24,2,3,5943,5,2,1,1,2,1,1,3,44,3,2,2,3,1,403,1
0,16677,4,36,4,2,7127,1,2,2,1,2,1,4,2,23,3,1,2,3,1,647,1
0,16709,4,36,2,2,3349,1,3,4,1,2,1,2,3,28,3,2,1,4,1,403,1
0,16741,4,36,2,2,10974,1,1,4,1,2,1,2,3,26,3,2,2,4,1,647,1
0,17349,2,9,2,3,1670,1,2,4,0,2,1,2,3,22,3,2,1,3,1,403,1
0,17413,2,12,2,2,1922,1,3,4,0,3,1,2,2,37,3,2,1,2,1,647,1
0,18053,2,60,2,0,7408,2,2,4,0,2,1,2,2,24,3,2,1,4,1,403,1
0,18501,1,36,2,2,3446,1,5,4,0,3,1,2,3,42,3,2,1,3,2,647,1
0,18533,1,12,2,6,684,1,3,4,0,3,1,4,3,40,3,1,1,2,2,647,1
0,18565,1,33,4,2,4281,3,3,1,0,2,1,4,3,23,3,2,2,3,1,647,1
0,18597,1,42,2,3,7174,5,4,4,0,2,1,3,3,30,3,2,1,4,1,403,1
0,18629,1,24,1,3,1546,1,4,4,0,3,3,4,3,24,1,1,1,2,1,647,1
0,18661,1,24,2,2,2359,2,1,1,0,1,1,1,2,33,3,2,1,3,1,647,1
0,18693,4,24,2,3,3621,2,5,2,1,3,1,4,3,31,3,2,2,3,1,647,1
0,18725,1,12,2,4,741,2,1,4,0,2,1,3,2,22,3,2,1,3,1,647,1
0,18757,1,12,2,2,7865,1,5,4,0,3,1,4,4,53,3,3,1,4,1,403,1
0,19013,1,36,4,2,6229,1,2,4,0,2,2,4,4,23,3,1,2,2,1,403,1
0,19045,1,24,1,0,1193,1,1,1,0,2,2,4,4,29,3,1,2,1,1,403,1
0,19237,1,36,2,2,5179,1,4,4,0,3,1,2,2,29,3,2,1,3,1,647,1
0,19269,1,36,2,1,8229,1,3,2,0,3,1,2,2,26,3,2,1,3,2,403,1
0,19397,1,36,2,2,2712,1,5,2,0,3,1,2,2,41,1,2,1,3,2,403,1
0,19589,2,12,2,0,836,2,2,4,0,2,1,2,2,23,1,2,1,2,1,403,1
0,19845,1,30,2,2,3108,1,2,2,0,1,1,4,2,31,3,2,1,2,1,647,1
0,20421,1,12,4,2,2246,1,5,3,0,3,1,3,2,60,3,2,2,3,1,647,1
0,20645,1,48,4,1,6143,1,5,4,0,2,1,4,4,58,2,3,2,2,1,647,1
0,21061,2,24,4,3,1216,2,2,4,0,3,1,4,4,38,1,2,2,3,2,647,1
0,22117,1,24,2,3,1282,2,3,4,0,2,1,2,3,32,3,2,1,2,1,403,1
0,22469,1,36,2,1,8335,5,5,3,0,3,1,4,4,47,3,3,1,3,1,403,1
0,22725,1,48,1,9,7685,1,4,2,0,2,3,4,3,37,3,1,1,3,1,403,1
0,23013,4,24,2,9,4591,4,3,2,1,3,1,3,2,54,3,2,3,4,1,647,1
0,23045,2,18,2,2,1924,5,2,4,0,2,1,3,1,27,3,1,1,3,1,403,1
0,23077,2,72,2,3,5595,2,3,2,0,4,1,2,3,24,3,2,1,3,1,403,1
0,23109,2,48,3,6,6224,1,5,4,0,3,1,4,4,50,3,3,1,3,1,647,1
0,23813,1,24,2,2,2996,5,3,2,0,4,1,4,3,20,3,2,1,3,1,403,1
0,24101,1,9,2,0,654,1,3,4,0,3,1,3,3,28,3,2,1,2,1,403,1
0,24133,2,9,4,6,1136,4,5,4,0,3,1,3,4,32,3,3,2,3,2,403,1
0,24165,2,24,2,1,4113,3,2,3,0,2,1,4,3,28,3,1,1,3,1,647,1
0,24197,2,6,2,0,14555,5,1,1,0,3,1,2,2,23,3,2,1,1,1,403,1
0,24229,1,15,0,0,950,1,5,4,0,3,1,3,3,33,3,1,2,3,2,403,1
0,24261,1,24,4,0,1199,1,5,4,0,3,1,4,3,60,3,2,2,2,1,647,1
0,24293,1,12,0,0,1082,1,3,4,0,3,1,4,3,48,1,2,2,3,1,647,1
0,24325,2,30,2,0,2150,1,3,4,0,2,3,2,4,24,1,2,1,3,1,403,1
0,24357,2,36,4,0,2820,1,2,4,0,1,1,4,3,27,3,2,2,3,1,647,1
0,24389,2,48,2,3,3060,1,4,4,0,3,1,4,1,28,3,2,2,3,1,647,1
0,24421,1,18,2,3,2600,1,3,4,0,3,1,4,4,65,3,3,2,3,1,647,1
0,24453,4,21,0,0,5003,5,3,1,1,2,1,4,2,29,1,2,2,3,1,647,1
0,24485,2,60,2,6,6288,1,3,4,0,3,1,4,4,42,3,3,1,3,1,403,1
0,24517,4,24,3,0,2538,1,5,4,1,3,1,4,3,47,3,2,2,2,2,647,1
0,24549,4,9,2,3,1478,1,4,4,1,3,1,2,3,22,3,2,1,3,1,647,1
0,24581,2,39,4,3,4933,1,4,2,0,3,3,2,1,25,3,2,2,3,1,647,1
0,24613,4,18,4,0,1530,1,3,3,1,3,1,2,2,32,1,2,2,3,1,403,1
0,24645,2,9,1,0,1437,2,4,2,0,3,1,3,4,29,3,2,1,3,1,403,1
0,24677,1,15,2,4,1275,5,3,4,0,2,1,2,3,24,3,1,1,3,1,403,1
0,24709,1,24,2,3,1823,1,1,4,0,3,1,2,3,30,2,2,1,4,2,403,1
0,24741,1,9,2,0,1422,1,2,3,0,3,1,2,4,27,3,3,1,4,1,647,1
0,24773,1,18,2,4,1217,1,3,4,0,4,1,3,1,47,3,2,1,2,1,403,1
0,24805,1,36,2,0,9271,1,4,2,0,3,1,1,3,24,3,2,1,3,1,647,1
0,24837,1,36,3,9,2145,1,4,2,0,3,1,1,3,24,3,2,2,3,1,403,1
0,24869,1,36,2,0,1842,1,2,4,0,2,1,4,3,34,3,2,1,3,1,647,1
0,24901,2,18,3,2,4297,1,5,4,0,1,1,3,4,40,3,2,1,4,1,403,1
0,24933,1,6,4,2,3384,1,3,1,0,1,1,4,1,44,3,1,1,4,1,647,1
0,24965,2,18,4,3,1245,1,3,4,0,4,1,2,3,33,3,2,1,3,1,647,1
0,24997,4,15,2,6,4623,2,3,3,1,3,1,2,2,40,3,2,1,4,1,647,1
0,25029,2,30,4,2,8386,1,4,2,0,3,1,2,2,49,3,2,1,3,1,647,1
0,25061,1,24,3,3,1024,1,2,4,0,4,1,4,1,48,2,2,1,3,1,647,1
0,25093,2,36,2,0,14318,1,5,4,0,3,1,2,4,57,3,3,1,4,1,647,1
0,25125,2,6,1,6,433,4,2,4,0,2,1,2,2,24,1,1,1,3,2,403,1
0,25157,1,12,1,3,2149,1,3,4,0,1,1,1,4,29,3,3,1,3,1,403,1
0,25189,4,24,2,3,2397,3,5,3,1,3,1,2,3,35,1,2,2,3,1,647,1
0,25221,2,6,1,0,931,2,2,1,0,2,1,1,2,32,2,2,1,2,1,647,1
0,25253,2,15,3,5,1512,4,3,3,0,4,1,3,2,61,2,2,2,3,1,403,1
0,25285,2,24,0,9,4241,1,3,1,0,3,1,4,1,36,3,2,3,2,1,647,1
0,25317,2,24,4,2,4736,1,2,2,0,2,1,4,3,25,1,2,1,2,1,647,1
0,25349,2,15,0,0,1778,1,2,2,0,2,1,1,1,26,3,1,2,1,1,403,1
0,25381,3,15,2,3,2327,1,2,2,1,2,1,3,1,25,3,2,1,2,1,403,1
0,25413,1,24,1,2,6872,1,2,2,0,1,1,1,2,55,1,2,1,3,1,403,1
0,25445,1,12,2,6,795,1,2,4,0,2,1,4,2,53,3,2,1,3,1,403,1
0,25477,3,30,3,9,1908,1,5,4,1,3,1,4,1,66,3,2,1,4,1,647,1
0,25509,2,36,0,9,1953,1,5,4,0,3,1,4,4,61,3,3,1,4,1,647,1
0,25541,3,18,2,2,2864,1,3,2,1,3,1,1,1,34,3,2,1,2,2,403,1
0,25573,3,21,4,6,2319,1,2,2,1,1,1,1,3,33,3,1,1,3,1,647,1
0,25605,1,24,2,0,915,5,5,4,0,2,1,2,3,29,1,2,1,3,1,647,1
0,25637,3,24,2,0,947,1,4,4,1,3,1,3,4,38,1,3,1,3,2,403,1
0,25669,1,24,2,0,1381,5,3,4,0,2,1,2,2,35,3,2,1,3,1,647,1
0,25701,1,24,2,0,1285,5,4,4,0,2,1,4,4,32,3,1,1,3,1,647,1
0,25733,1,24,2,0,1371,5,3,4,0,2,1,4,1,25,3,1,1,3,1,647,1
0,25765,2,18,2,0,1042,5,3,4,0,2,1,2,2,33,3,2,1,3,1,647,1
0,25797,1,12,2,0,900,5,3,4,0,4,1,2,3,23,3,2,1,3,1,647,1
0,25829,1,24,2,0,1207,1,2,4,0,2,1,4,2,24,3,1,1,3,1,647,1
0,25861,2,18,0,0,2278,2,2,3,0,2,1,3,3,28,3,2,2,3,1,403,1
0,25893,1,60,3,9,6836,1,5,3,0,3,1,4,4,63,3,2,2,3,1,403,1
0,25925,1,24,2,2,3345,1,5,4,0,3,1,2,2,39,3,1,1,4,1,647,1
0,25957,1,6,1,6,1198,1,5,4,0,2,1,4,4,35,3,3,1,3,1,647,1
0,25989,2,48,2,9,15672,1,3,2,0,3,1,2,3,23,3,2,1,3,1,403,1
0,26021,1,60,2,9,7297,1,5,4,0,3,2,4,4,36,3,1,1,3,1,647,1
0,26053,4,18,2,5,1943,1,2,4,1,2,1,4,1,23,3,2,1,3,1,647,1
0,26085,1,18,2,3,3190,1,3,2,0,2,1,2,1,24,3,2,1,3,1,647,1
0,26117,2,9,1,1,5129,1,5,2,0,2,1,4,4,74,1,3,1,4,2,403,1
0,26149,4,18,3,2,1808,1,4,4,1,2,1,1,1,22,3,2,1,3,1,403,1
0,26181,3,10,2,0,1240,2,5,1,1,2,1,4,4,48,3,3,1,2,2,647,1
0,26213,1,12,2,0,759,1,4,4,0,3,1,2,1,26,3,2,1,3,1,403,1
0,26245,2,8,2,2,1237,1,3,3,0,2,1,4,1,24,3,2,1,3,1,403,1
0,26277,4,9,2,2,1980,1,2,2,1,2,2,2,3,19,3,1,2,3,1,647,1
0,26309,2,48,2,3,10961,4,4,1,0,3,2,2,4,27,1,2,2,3,1,647,1
0,26341,1,36,3,6,6887,1,3,4,0,3,1,3,2,29,2,2,1,3,1,403,1
0,26373,1,24,2,3,1938,1,2,4,0,1,1,3,2,32,3,2,1,3,1,403,1
0,26405,1,21,2,3,1835,1,3,3,0,2,1,2,1,25,3,2,2,3,1,403,1
0,26437,1,24,3,3,1659,1,2,4,0,2,1,2,3,29,3,1,1,2,1,647,1
0,26469,2,6,3,0,1209,1,1,4,0,3,1,4,2,47,3,2,1,4,1,403,1
0,26501,2,48,0,9,3844,2,4,4,0,3,1,4,4,34,3,3,1,2,2,647,1
0,26533,1,12,4,0,4843,1,5,3,0,3,2,4,2,43,3,1,2,3,1,403,1
0,26565,2,12,2,5,639,1,3,4,0,3,1,2,3,30,3,2,1,3,1,647,1
0,26597,2,48,2,3,5951,1,3,2,0,2,1,2,1,22,3,2,1,3,1,647,1
0,26629,2,36,0,3,3804,1,3,4,0,2,1,1,3,42,3,2,1,3,1,647,1
0,26661,4,36,3,3,4463,1,3,4,1,3,1,2,3,26,3,2,2,4,1,647,1
0,26693,4,36,3,9,7980,5,2,4,1,3,1,4,3,27,3,1,2,3,1,403,1
0,26725,3,36,2,3,4210,1,3,4,1,3,1,2,3,26,3,2,1,3,1,403,1
0,26757,4,6,2,2,4611,1,2,1,1,2,1,4,2,32,3,2,1,3,1,647,1
0,26789,2,24,2,1,11560,1,3,1,0,2,1,4,3,23,3,1,2,4,1,403,1
0,26821,4,18,0,9,4165,1,3,2,1,3,1,2,3,36,2,2,2,3,2,403,1
0,26853,2,24,2,2,4057,1,4,3,0,1,1,3,3,43,3,2,1,3,1,647,1
0,26885,4,18,1,0,6458,1,5,2,1,3,1,4,4,39,1,2,2,4,2,647,1
0,26917,4,12,2,0,1386,3,3,2,1,2,1,2,2,26,3,2,1,3,1,647,1
0,26949,1,36,2,6,1977,5,5,4,0,3,1,4,4,40,3,2,1,4,1,403,1
0,26981,2,18,4,2,1928,1,2,2,0,3,1,2,1,31,3,2,2,2,1,647,1
0,27013,4,12,2,2,1123,3,3,4,1,2,1,4,3,29,3,1,1,2,1,403,1
0,27045,2,24,2,10,11328,1,3,2,0,3,2,3,3,29,1,2,2,4,1,403,1
0,27077,2,24,4,10,11938,1,3,2,0,3,2,3,3,39,3,2,2,4,2,403,1
0,27109,2,27,4,3,2520,3,3,4,0,3,1,2,2,23,3,2,2,2,1,647,1
0,27141,2,30,3,3,1919,2,2,4,0,3,1,3,4,30,2,2,2,4,1,647,1
0,27173,2,60,1,10,14782,2,5,3,0,2,1,4,4,60,1,3,2,4,1,647,1
0,27205,2,36,2,3,2671,2,3,4,0,2,2,4,4,50,3,3,1,3,1,647,1
0,27237,2,36,2,6,12612,2,3,1,0,3,1,4,4,47,3,3,1,3,2,647,1
0,27269,2,45,2,3,3031,2,3,4,0,3,3,4,2,21,3,1,1,3,1,403,1
0,27301,1,12,1,3,626,1,3,4,0,2,1,4,1,24,1,2,1,2,1,403,1
0,27333,2,24,4,9,1935,1,5,4,0,1,1,4,1,31,3,2,2,3,1,403,1
0,27365,3,24,4,0,1344,5,4,4,1,3,1,2,1,37,1,2,2,2,2,647,1
0,27397,4,18,2,2,1533,1,2,4,1,4,2,1,2,43,3,2,1,2,2,647,1
0,27429,1,48,2,0,3931,1,4,4,0,3,1,4,4,46,3,3,1,3,2,647,1
0,27461,1,24,1,2,3349,3,2,4,0,3,1,4,4,30,3,3,1,3,2,403,1
0,27493,1,36,2,3,2302,1,3,4,0,1,1,4,3,31,3,1,1,3,1,647,1
0,27525,1,42,2,3,3965,1,2,4,0,3,1,3,3,34,3,2,1,3,1,647,1
0,27557,1,12,2,3,727,2,2,4,0,4,1,3,4,33,3,2,1,2,1,403,1
0,27589,4,48,2,9,3914,5,3,4,1,1,1,2,1,38,1,2,1,3,1,403,1
0,27621,1,48,2,9,4308,1,2,3,0,2,1,4,2,24,3,1,1,3,1,647,1
0,27653,2,12,2,3,1534,1,2,1,0,4,1,1,1,23,3,1,1,3,1,403,1
0,27685,4,18,4,0,2775,1,4,2,1,3,1,2,2,31,1,2,2,3,1,647,1
0,27717,1,40,4,6,5998,1,3,4,0,3,1,3,4,27,1,2,1,3,1,647,1
0,27749,3,15,4,3,1271,5,3,3,1,3,1,4,4,39,3,3,2,3,1,403,1
0,27781,2,12,2,0,1295,1,2,3,0,2,1,1,3,25,3,1,1,3,1,647,1
0,27813,2,36,2,1,9398,1,2,1,0,4,1,4,3,28,3,1,1,4,1,403,1
0,27845,2,12,2,2,951,2,2,4,0,2,1,4,3,27,1,1,4,3,1,647,1
0,27877,2,24,2,0,1355,1,2,3,0,2,1,4,3,25,3,2,1,2,1,403,1
0,27909,1,48,2,4,3051,1,3,3,0,3,1,4,3,54,3,2,1,3,1,403,1
0,27941,4,36,4,0,7855,1,3,4,1,2,1,2,1,25,2,2,2,3,1,403,1
0,27973,4,18,2,3,433,1,1,3,1,2,2,4,1,22,3,1,1,3,1,403,1
0,28005,4,36,3,9,9572,1,2,1,1,1,1,1,3,28,3,2,2,3,1,647,1
0,28037,2,24,1,6,1837,1,4,4,0,2,1,4,4,34,1,3,1,2,1,403,1
0,28069,2,30,4,0,4249,1,1,4,0,4,1,2,3,28,3,2,2,4,1,647,1
0,28101,2,30,4,0,5234,1,1,4,0,4,1,2,3,28,3,2,2,4,1,403,1
0,28133,1,48,2,3,6758,1,3,3,0,2,1,2,3,31,3,2,1,3,1,403,1
0,28165,1,9,2,3,1366,1,2,3,0,2,1,4,2,22,3,1,1,3,1,403,1
0,28197,1,24,1,10,1358,5,5,4,0,3,1,3,3,40,2,2,1,4,1,647,1
0,28229,1,18,2,2,2473,1,1,4,0,3,1,1,3,25,3,2,1,1,1,403,1
0,28261,3,9,0,3,1337,1,2,4,1,3,1,2,3,34,3,2,2,4,1,403,1
0,28293,1,48,2,0,7763,1,5,4,0,3,1,4,4,42,1,3,1,4,1,403,1
0,28325,2,15,1,0,1264,2,3,2,0,4,1,2,2,25,3,1,1,3,1,403,1
0,28357,2,15,2,0,2631,2,3,2,0,2,1,4,3,28,3,1,2,3,1,403,1
0,28389,2,48,2,0,6560,2,4,3,0,3,1,2,2,24,3,2,1,3,1,403,1
0,28421,1,24,2,0,3123,1,2,4,0,2,1,1,2,27,3,2,1,3,1,647,1
0,28453,1,36,4,6,8065,1,3,3,0,2,1,2,4,25,3,2,2,4,1,403,1
0,28485,1,24,2,3,2439,1,2,4,0,2,1,4,1,35,3,2,1,3,1,403,1
0,28517,2,36,2,2,9034,2,2,4,0,3,2,1,4,29,3,1,1,4,1,403,1
0,28549,2,60,2,0,14027,1,4,4,0,3,1,2,4,27,3,2,1,4,1,647,1
0,28581,1,36,4,1,9629,1,4,4,0,3,1,4,3,24,3,2,2,3,1,647,1
0,28613,2,12,2,3,1484,5,3,2,0,4,1,1,1,25,3,2,1,3,1,647,1
0,28645,1,18,2,2,1131,1,1,4,0,2,1,2,3,33,3,2,1,3,1,647,1
0,28677,2,24,3,2,2064,1,1,3,0,2,1,2,2,34,3,2,1,4,1,403,1
0,28709,2,18,2,1,12976,1,1,3,0,2,1,4,4,38,3,3,1,4,1,647,1
0,28741,4,21,3,9,2580,3,2,4,1,3,1,2,1,41,1,2,1,2,2,403,1
0,28773,4,27,2,0,2570,1,3,3,1,2,1,3,1,21,3,1,1,3,1,403,1
0,28805,2,27,2,9,3915,1,3,4,0,3,1,2,3,36,3,2,1,3,2,403,1
0,28837,4,10,2,0,1309,5,3,4,1,3,3,4,2,27,3,2,1,2,1,403,1
0,28869,1,24,2,0,4817,1,4,2,0,3,2,3,2,31,3,2,1,3,1,647,1
0,28901,1,12,2,0,2579,1,2,4,0,3,1,1,1,33,3,2,1,2,2,647,1
0,28933,2,36,3,0,2225,1,5,4,0,3,1,4,4,57,1,3,2,3,1,647,1
0,28965,1,18,2,2,4153,1,3,2,0,3,2,3,3,42,3,2,1,3,1,647,1
0,28997,1,18,0,2,3114,1,2,1,0,2,1,4,2,26,3,1,1,3,1,403,1
0,29029,1,18,4,2,2124,1,3,4,0,2,1,4,1,24,3,1,2,3,1,403,1
0,29061,1,18,1,2,1553,1,3,4,0,3,1,3,3,44,1,2,1,3,1,647,1
0,29093,1,30,2,2,2406,1,4,4,0,2,1,4,1,23,3,1,1,3,1,647,1
0,29125,1,24,3,0,1333,1,1,4,0,3,1,2,1,43,3,3,2,3,2,647,1
0,29157,1,48,0,2,7119,1,3,3,0,3,1,4,4,53,3,3,2,3,2,647,1
0,29189,1,24,3,0,4870,1,3,3,0,3,1,4,4,53,3,3,2,3,2,647,1
0,29221,1,12,4,0,691,1,5,4,0,3,1,3,2,35,3,2,2,3,1,403,1
0,29253,1,42,3,3,4370,1,4,3,0,3,1,2,2,26,1,2,2,3,2,647,1
0,29285,1,36,1,2,2746,1,5,4,0,3,1,4,3,31,1,2,1,3,1,403,1
0,29317,1,24,0,2,4110,1,5,3,0,3,1,4,4,23,1,1,2,3,2,403,1
0,29349,1,18,2,2,2462,1,3,2,0,3,1,2,3,22,3,2,1,3,1,647,1
0,29381,1,12,2,2,1282,1,3,2,0,2,1,4,3,20,3,1,1,3,1,647,1
0,29413,2,12,0,2,2969,1,2,4,0,2,1,3,2,25,3,1,2,3,1,403,1
0,29445,1,48,0,1,4605,1,5,3,0,3,1,4,4,24,3,3,2,3,2,403,1
0,29477,1,48,4,1,6331,1,5,4,0,3,1,4,4,46,3,3,2,3,1,403,1
0,29509,1,24,1,2,3552,1,4,3,0,3,1,4,3,27,1,2,1,3,1,647,1
0,29541,1,12,1,0,697,1,2,4,0,3,1,2,3,46,1,2,2,3,1,403,1
0,29573,1,24,2,0,1442,1,4,4,0,2,1,4,3,23,3,1,2,3,1,403,1
0,29605,1,27,0,9,5293,1,1,2,0,3,1,4,2,50,3,2,2,3,1,403,1
0,29637,1,21,3,6,3414,1,2,2,0,3,1,1,2,26,2,2,2,3,1,647,1
0,29669,1,18,2,2,2039,1,3,1,0,2,1,4,1,20,3,1,1,3,1,403,1
0,29701,1,24,1,9,3161,1,3,4,0,3,1,2,2,31,1,1,1,3,1,403,1
0,29733,1,12,2,8,902,1,4,4,0,4,1,4,2,21,3,1,1,3,1,403,1
0,29765,1,48,2,1,10297,1,4,4,0,3,1,4,4,39,3,3,3,3,2,647,1
0,29797,2,48,0,9,14421,1,3,2,0,3,1,2,3,25,2,2,1,3,1,647,1
0,29829,2,18,4,0,1056,1,5,3,0,3,3,3,1,30,3,2,2,3,1,403,1
0,29861,1,12,2,0,1274,1,2,3,0,2,1,1,1,37,1,2,1,2,1,403,1
0,29893,2,12,2,0,1223,1,5,1,0,1,1,1,1,46,3,1,2,3,1,647,1
0,29925,1,12,2,0,1372,1,4,2,0,1,1,3,3,36,3,2,1,3,1,403,1
0,29957,1,16,4,0,2625,1,5,2,0,3,3,4,2,43,3,1,1,3,1,647,2
0,29989,1,20,4,0,2235,1,3,4,0,4,3,2,2,33,1,1,2,3,1,403,2
0,30021,2,9,2,2,959,1,3,1,0,2,1,2,3,29,1,2,1,3,1,403,1
0,30053,2,18,4,0,884,1,5,4,0,3,1,4,3,36,3,2,1,3,2,403,1
0,30085,2,24,2,0,1246,1,2,4,0,3,1,2,1,23,1,2,1,2,1,403,1
0,30117,2,36,3,0,8086,2,5,2,0,3,1,4,3,42,2,2,4,4,1,403,1
0,30149,4,48,4,0,10127,3,3,2,1,3,1,2,4,44,3,3,1,3,1,403,1
0,30181,2,12,2,0,888,1,5,4,0,3,1,4,3,41,1,2,1,2,2,647,1
