Creditability,Customer ID ,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex,Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
0,30213,4,12,2,6,719,1,5,4,1,3,1,4,3,41,1,2,1,2,2,403,1
0,30245,2,36,2,0,12389,5,3,1,0,3,1,4,4,37,1,3,1,3,1,403,1
0,30277,1,12,2,3,709,1,5,4,0,3,1,4,1,57,3,2,1,2,1,403,1
0,30309,2,15,1,0,6850,2,1,1,0,3,1,2,2,34,2,2,1,4,2,647,1
0,30341,4,10,2,2,2210,1,3,2,1,3,1,2,1,25,3,1,1,2,1,403,1
0,30373,4,30,1,1,7485,5,1,4,1,2,1,1,1,53,1,2,1,4,1,403,1
0,30405,1,18,1,0,1442,1,4,4,0,3,1,4,4,32,1,3,2,2,2,647,1
0,30437,4,12,4,3,797,5,5,4,1,2,1,3,2,33,3,2,1,2,2,403,1
0,30469,2,45,4,3,4746,1,2,4,0,3,1,2,2,24,1,2,2,2,1,403,1
0,30501,3,12,4,0,939,3,4,4,1,4,1,2,1,28,3,2,3,3,1,403,1
0,30533,2,21,2,9,1188,1,5,2,0,2,1,4,2,39,3,2,1,3,2,403,1
0,30565,4,48,4,1,11590,2,3,2,1,2,1,4,3,24,3,1,2,2,1,647,1
0,30597,3,12,1,9,609,1,2,4,1,2,1,1,1,26,1,2,1,1,1,403,1
0,30629,1,18,4,5,1190,1,1,2,0,2,1,4,4,55,3,3,3,1,2,647,1
0,30661,2,21,2,9,2767,2,5,4,0,1,1,2,3,61,3,1,2,2,1,647,1
0,30693,2,30,2,2,3441,2,3,2,0,2,2,4,3,21,1,1,1,3,1,647,1
0,30725,2,30,0,9,4280,2,3,4,0,2,1,4,3,26,3,1,2,2,1,647,1
0,30757,2,24,2,3,3092,2,2,3,0,4,1,2,3,22,3,1,1,3,1,647,1
0,30789,4,18,2,0,6761,5,3,2,1,3,1,4,3,68,2,1,2,3,1,403,1
0,30821,2,12,2,3,1331,1,2,2,0,3,1,1,3,22,3,2,1,3,1,403,1
0,30853,2,54,0,9,15945,1,2,3,0,3,1,4,4,58,3,1,1,3,1,403,1
0,30885,1,24,2,2,3234,1,2,4,0,2,1,4,1,23,3,1,1,2,1,647,1
0,30917,2,15,2,3,802,1,5,4,0,3,1,3,3,37,3,2,1,3,2,403,1
0,30949,2,48,2,2,9960,1,2,1,0,2,1,2,3,26,1,2,1,3,1,403,1
0,30981,4,24,3,9,8648,1,2,2,1,3,1,2,3,27,1,2,2,3,1,403,1
0,31013,1,18,2,3,1345,1,3,4,0,4,1,3,1,26,3,2,1,3,1,403,1
0,31045,1,45,2,3,1845,1,3,4,0,3,1,4,4,23,3,3,1,3,1,647,1
0,31077,1,21,1,0,1647,5,3,4,0,3,1,2,2,40,1,2,2,2,2,403,1
0,31109,4,48,2,9,4844,1,1,3,1,3,1,2,3,33,3,1,1,4,1,403,1
0,31141,2,27,0,9,8318,1,5,2,0,2,1,4,4,42,2,3,2,4,1,403,1
0,31173,3,18,2,3,2100,1,3,4,1,3,2,2,1,37,3,2,1,3,1,403,1
0,31205,1,45,0,9,11816,1,5,2,0,3,1,4,3,29,3,1,2,3,1,403,1
0,31237,1,6,2,6,448,1,2,4,0,2,1,4,2,23,3,2,1,3,1,403,1
0,31269,1,30,2,5,11998,1,2,1,0,1,1,1,4,34,1,2,1,2,1,647,1
0,31301,2,48,0,10,18424,1,3,1,0,2,1,2,2,32,1,2,1,4,1,647,2
0,31333,1,6,2,0,14896,1,5,1,0,3,1,4,4,68,1,2,1,4,1,647,1
0,31365,2,12,2,2,2762,5,5,1,0,2,1,2,2,25,3,2,1,3,1,403,1
0,31397,1,12,2,1,3386,1,5,3,0,3,1,4,4,35,3,3,1,3,1,403,1
0,31429,2,24,2,3,2039,1,2,1,0,4,1,1,2,22,3,2,1,3,1,647,1
0,31461,4,18,3,9,2169,1,3,4,1,4,1,2,3,28,3,2,1,3,1,403,1
0,31493,2,48,4,2,5096,1,3,2,0,2,1,3,3,30,3,2,1,4,1,647,1
0,31525,1,18,2,3,1882,1,3,4,0,2,1,4,3,25,1,1,2,3,1,647,1
0,31557,1,48,2,3,6999,1,4,1,0,4,3,1,1,34,3,2,2,3,1,403,1
0,31589,4,12,4,9,2292,1,1,4,1,3,1,2,3,42,2,2,2,4,1,403,1
0,31621,1,14,2,0,8978,1,5,1,0,1,1,4,2,45,3,2,1,4,1,403,2
0,31653,1,12,2,3,674,2,4,4,0,4,1,1,2,20,3,2,1,3,1,647,1
0,31685,1,18,2,0,976,1,2,1,0,2,1,2,3,23,3,2,1,2,1,647,1
0,31717,2,24,2,0,2718,1,3,3,0,2,1,4,2,20,3,1,1,2,1,647,1
0,31749,1,18,2,6,750,1,1,4,0,2,1,1,1,27,3,2,1,1,1,403,1
0,31781,2,24,2,1,12579,1,5,4,0,2,1,2,4,44,3,3,1,4,1,647,1
0,31813,1,18,2,1,7511,5,5,1,0,3,1,4,2,51,3,3,1,3,2,647,1
0,31845,1,18,4,0,3966,1,5,1,0,2,1,4,1,33,1,1,3,3,1,403,1
0,31877,1,12,0,3,6199,1,3,4,0,3,1,2,2,28,3,1,2,3,1,403,1
0,31909,1,24,2,3,1987,1,3,2,0,3,1,4,1,21,3,1,1,2,2,647,1
0,31941,1,24,2,0,2303,1,5,4,0,3,2,1,1,45,3,2,1,3,1,647,1
0,31973,4,21,4,0,12680,5,5,4,1,3,1,4,4,30,3,3,1,4,1,403,1
0,32005,2,12,2,3,6468,5,1,2,0,3,1,1,4,52,3,2,1,4,1,647,1
0,32037,1,30,2,2,6350,5,5,4,0,3,1,4,2,31,3,2,1,3,1,647,1
1,69,1,18,4,2,1049,1,2,4,0,2,1,4,2,21,3,1,1,3,1,416,1
1,101,1,9,4,0,2799,1,3,2,0,3,1,2,1,36,3,1,2,3,2,587,1
1,133,2,12,2,9,841,2,4,2,0,2,1,4,1,23,3,1,1,2,1,587,1
1,165,1,12,4,0,2122,1,3,3,0,3,1,2,1,39,3,1,2,2,2,514,2
1,197,1,12,4,0,2171,1,3,4,0,3,1,4,2,38,1,2,2,2,1,587,2
1,229,1,10,4,0,2241,1,2,1,0,3,1,3,1,48,3,1,2,2,2,416,2
1,261,1,8,4,0,3398,1,4,1,0,3,1,4,1,39,3,2,2,2,1,416,2
1,293,1,6,4,0,1361,1,2,2,0,3,1,4,1,40,3,2,1,2,2,708,2
1,325,4,18,4,3,1098,1,1,4,1,2,1,4,3,65,3,2,2,1,1,416,1
1,357,2,24,2,3,3758,3,1,1,0,2,1,4,4,23,3,1,1,1,1,514,1
1,389,1,11,4,0,3905,1,3,2,0,3,1,2,1,36,3,1,2,3,2,708,1
1,421,1,30,4,1,6187,2,4,1,0,4,1,4,3,24,3,1,2,3,1,708,1
1,453,1,6,4,3,1957,1,4,1,0,2,1,4,3,31,3,2,1,3,1,587,1
1,485,2,48,3,10,7582,2,1,2,0,3,1,4,4,31,3,2,1,4,1,416,1
1,517,1,18,2,3,1936,5,4,2,0,4,1,4,3,23,3,1,2,2,1,587,1
1,549,1,6,2,3,2647,3,3,2,0,3,1,3,1,44,3,1,1,3,2,514,1
1,581,1,11,4,0,3939,1,3,1,0,3,1,2,1,40,3,2,2,2,2,416,1
1,613,2,18,2,3,3213,3,2,1,0,4,1,3,1,25,3,1,1,3,1,514,1
1,645,2,36,4,3,2337,1,5,4,0,3,1,4,1,36,3,2,1,3,1,708,1
1,677,4,11,4,0,7228,1,3,1,1,3,1,4,2,39,3,2,2,2,1,416,1
1,709,1,6,4,0,3676,1,3,1,0,3,1,3,1,37,3,1,3,3,2,587,1
1,741,2,12,4,0,3124,1,2,1,0,3,1,3,1,49,1,2,2,2,2,514,1
1,805,2,12,4,4,1424,1,4,4,0,3,1,3,2,26,3,2,1,3,1,416,1
1,837,1,6,4,0,4716,5,2,1,0,3,1,3,1,44,3,2,2,2,2,587,1
1,869,2,11,3,3,4771,1,4,2,0,3,1,4,2,51,3,2,1,3,1,708,1
1,901,1,12,2,2,652,1,5,4,0,2,1,4,2,24,3,1,1,3,1,416,1
1,933,2,9,4,3,1154,1,5,2,0,3,1,4,1,37,3,2,3,2,1,514,1
1,965,4,15,2,0,3556,5,3,3,1,3,1,2,4,29,3,2,1,3,1,416,1
1,997,3,42,4,1,4796,1,5,4,1,3,1,4,4,56,3,3,1,3,1,514,1
1,1029,3,30,4,3,3017,1,5,4,1,3,1,4,2,47,3,2,1,3,1,587,1
1,1061,4,36,4,0,3535,1,4,4,1,3,1,4,3,37,3,2,2,3,1,587,1
1,1093,4,36,4,0,6614,1,5,4,1,3,1,4,3,34,3,2,2,4,1,514,1
1,1125,4,24,2,3,1376,3,4,4,1,2,1,1,3,28,3,2,1,3,1,514,1
1,1157,1,15,2,0,1721,1,2,2,0,3,1,3,1,36,3,2,1,3,1,708,1
1,1189,1,6,4,0,860,1,5,1,0,2,1,4,4,39,3,2,2,3,1,514,1
1,1221,4,12,4,0,1495,1,5,4,1,3,1,1,1,38,3,2,2,2,2,514,1
1,1253,4,12,4,3,1934,1,5,2,1,3,1,2,4,26,3,2,2,3,1,708,1
1,1285,4,18,2,1,3378,5,3,2,1,3,1,1,2,31,3,2,1,3,1,416,1
1,1317,4,24,4,1,3868,1,5,4,1,2,1,2,3,41,3,1,2,4,1,416,1
1,1349,4,12,4,5,996,5,4,4,1,2,1,4,1,23,3,2,2,3,1,514,1
1,1381,1,24,2,10,1755,1,5,4,0,2,3,4,1,58,3,2,1,2,1,416,1
1,1413,4,18,4,0,1028,1,3,4,1,2,1,3,1,36,3,2,2,3,1,587,1
1,1445,2,24,4,9,2825,5,4,4,0,3,1,3,4,34,3,2,2,3,2,708,1
1,1477,2,18,2,6,1239,5,3,4,0,3,1,4,4,61,3,3,1,3,1,514,1
1,1541,4,24,2,9,1258,1,4,4,1,3,1,1,1,25,3,2,1,3,1,587,1
1,1605,4,24,2,0,1474,2,2,4,1,4,1,3,1,33,3,2,1,3,1,514,1
1,1637,1,24,4,9,1382,2,4,4,0,3,1,1,1,26,3,2,2,3,1,416,1
1,1669,4,12,2,0,640,1,3,4,1,1,1,2,1,49,3,2,1,2,1,587,1
1,1701,3,36,2,3,3919,1,3,2,1,3,1,2,1,23,3,2,1,3,1,708,1
1,1733,4,9,4,0,1224,1,3,3,1,3,1,1,1,30,3,2,2,3,1,514,1
1,1765,4,12,4,3,2331,5,5,1,1,3,2,4,1,49,3,2,1,3,1,514,1
1,1797,4,24,2,1,6313,5,5,3,1,3,1,4,3,41,3,2,1,4,2,708,1
1,1829,1,12,4,3,385,1,4,4,0,2,1,3,1,58,3,2,4,2,1,587,1
1,1861,4,12,4,3,1655,1,5,2,1,3,1,4,1,63,3,2,2,2,1,514,1
1,1893,1,15,2,3,1053,1,2,4,0,4,1,2,1,27,3,2,1,3,1,587,2
1,1925,4,21,2,3,3160,5,5,4,1,3,1,3,2,41,3,2,1,3,1,587,1
1,1957,4,36,2,0,3079,5,3,4,1,3,1,4,1,36,3,2,1,3,1,514,1
1,1989,4,12,4,0,1163,3,3,4,1,3,1,4,1,44,3,2,1,3,1,587,1
1,2021,4,24,2,1,2679,1,2,4,1,2,1,1,4,29,3,2,1,4,1,708,1
1,2053,4,48,4,3,3578,5,5,4,1,3,1,1,1,47,3,2,1,3,1,708,1
1,2085,4,36,3,0,10875,1,5,2,1,3,1,2,3,45,3,2,2,3,2,587,1
1,2117,1,12,3,0,1344,1,3,4,0,3,1,2,1,43,3,2,2,2,2,416,1
1,2149,4,6,4,3,1237,2,3,1,1,2,1,1,2,27,3,2,2,3,1,416,1
1,2181,4,12,2,3,3077,1,3,2,1,3,1,4,3,52,3,2,1,3,1,587,1
1,2213,4,24,2,3,2284,1,4,4,1,3,1,2,3,28,3,2,1,3,1,708,1
1,2245,2,12,2,3,1567,1,3,1,0,2,1,1,3,22,3,2,1,3,1,587,1
1,2277,4,24,3,0,2032,1,5,4,1,3,1,4,4,60,3,3,2,3,1,708,1
1,2309,2,21,4,2,2745,4,4,3,0,3,1,2,3,32,3,2,2,3,1,416,1
1,2341,4,30,2,3,1867,5,5,4,1,3,1,4,3,58,3,2,1,3,1,416,1
1,2373,4,36,2,3,2299,3,5,4,1,3,1,4,3,39,3,2,1,3,1,587,1
1,2405,4,24,2,2,929,5,4,4,1,3,1,2,3,31,2,2,1,3,1,416,1
1,2437,3,12,2,3,3399,5,5,2,1,3,1,3,3,37,3,2,1,4,1,514,1
1,2469,2,9,2,2,2030,5,4,2,0,3,1,1,3,24,3,2,1,3,1,708,1
1,2501,4,21,4,1,3275,1,5,1,1,3,1,4,3,36,3,2,1,4,1,416,1
1,2533,4,24,4,0,1940,4,5,4,1,3,1,4,1,60,3,2,1,3,1,587,1
1,2565,1,21,4,0,1602,1,5,4,0,4,1,3,3,30,3,2,2,3,1,708,1
1,2597,4,15,2,3,1979,5,5,4,1,3,1,2,3,35,3,2,1,3,1,514,1
1,2629,4,24,4,0,2022,1,3,4,1,2,1,4,3,37,3,2,1,3,1,708,1
1,2661,4,36,4,3,3342,5,5,4,1,3,1,2,3,51,3,2,1,3,1,587,1
1,2693,2,18,2,0,5866,2,3,2,0,3,1,2,3,30,3,2,2,3,1,708,1
1,2725,3,15,4,1,2360,3,3,2,1,3,1,2,3,36,3,2,1,3,1,514,1
1,2757,4,15,4,2,1520,5,5,4,1,3,1,4,2,63,3,2,1,3,1,708,1
1,2789,1,12,2,0,3651,4,3,1,0,3,1,3,2,31,3,2,1,3,2,587,1
1,2821,4,24,4,1,2346,1,4,4,1,3,1,3,3,35,3,2,2,3,1,587,1
1,2853,4,36,3,3,4454,1,3,4,1,2,1,4,1,34,3,2,2,3,1,416,1
1,2885,1,6,4,0,666,4,4,3,0,2,1,4,1,39,3,2,2,2,1,587,1
1,2917,2,24,3,0,1965,5,3,4,0,2,1,4,3,42,3,1,2,3,1,514,1
1,2949,2,12,4,0,1995,2,2,4,0,3,1,1,3,27,3,2,1,3,1,587,1
1,2981,2,30,2,3,2991,5,5,2,0,2,1,4,3,25,3,2,1,3,1,514,1
1,3013,2,30,0,9,4221,1,3,2,0,2,1,1,3,28,3,2,2,3,1,708,1
1,3045,1,9,2,3,1364,1,4,3,0,3,1,4,1,59,3,2,1,3,1,416,1
1,3077,2,18,4,2,6361,1,5,2,0,3,1,1,4,41,3,2,1,3,1,708,1
1,3109,4,27,4,2,4526,4,2,4,1,3,1,2,1,32,2,2,2,2,2,514,1
1,3141,2,12,4,3,3573,1,3,1,0,2,1,1,1,23,3,2,1,2,1,514,1
1,3205,1,9,2,2,2136,1,3,3,0,3,1,2,1,25,3,2,1,3,1,587,1
1,3237,2,42,4,9,5954,1,4,2,0,2,1,1,1,41,1,2,2,2,1,514,1
1,3269,4,24,4,2,3777,4,3,4,1,3,1,4,1,40,3,2,1,3,1,708,1
1,3301,1,15,2,9,806,1,3,4,0,2,1,4,2,22,3,2,1,2,1,514,1
1,3333,2,24,3,9,4712,5,3,4,0,3,1,2,2,34,1,2,2,4,1,416,1
1,3365,2,36,3,0,7432,1,3,2,0,2,1,2,2,54,3,1,1,3,1,587,1
1,3397,4,24,4,3,1851,1,4,4,1,4,3,2,3,33,3,2,2,3,1,708,1
1,3429,4,24,2,0,1393,1,3,2,1,3,3,2,1,31,3,2,1,3,1,514,1
1,3461,4,12,4,9,1412,1,3,4,1,2,3,2,1,29,3,2,2,4,1,708,1
1,3493,4,18,2,3,1473,1,2,3,1,4,1,4,1,39,3,2,1,3,1,708,1
1,3525,4,24,2,3,1533,1,2,4,1,2,1,3,3,38,2,2,1,3,1,708,1
1,3557,4,12,4,6,2012,5,4,4,1,2,1,2,3,61,3,2,1,3,1,587,1
1,3621,1,6,2,2,428,1,5,2,0,2,1,1,2,49,1,2,1,3,1,514,1
1,3653,2,12,4,0,2366,3,4,3,0,1,1,3,3,36,3,2,1,4,1,416,1
1,3685,4,12,2,2,763,1,3,4,1,2,1,1,1,26,3,2,1,3,1,416,1
1,3717,2,21,2,2,3976,5,4,2,0,3,1,3,3,35,3,2,1,3,1,708,1
1,3749,2,18,2,0,6260,1,4,3,0,3,1,3,1,28,3,1,1,2,1,514,1
1,3781,2,9,4,2,1919,1,4,4,0,3,1,3,3,35,3,1,1,3,1,708,1
1,3813,4,24,2,1,2603,4,3,2,1,2,1,4,3,28,3,1,1,3,1,587,1
1,3845,4,9,4,6,936,3,5,4,1,3,1,2,3,52,3,2,2,3,1,416,1
1,3877,4,24,2,2,3062,3,5,4,1,3,1,3,4,32,3,1,1,3,1,587,1
1,3909,2,36,2,3,4795,1,2,4,0,2,1,1,4,30,3,2,1,4,1,587,1
1,3941,4,36,4,1,5842,1,5,2,1,3,1,2,2,35,3,2,2,3,2,416,1
1,3973,2,6,2,3,2063,1,2,4,0,4,1,3,3,30,3,1,1,4,1,708,1
1,4005,4,15,4,3,1459,1,3,4,1,2,1,2,3,43,3,2,1,2,1,514,1
1,4037,4,15,2,3,1213,3,5,4,1,3,1,3,2,47,2,2,1,3,1,416,1
1,4069,4,24,4,3,5103,1,2,3,1,4,1,3,4,47,3,3,3,3,1,416,1
1,4101,4,15,2,4,874,5,2,4,1,2,1,1,1,24,3,2,1,3,1,514,1
1,4133,4,6,2,2,2978,3,3,1,1,3,1,2,3,32,3,2,1,3,1,514,1
1,4165,4,18,2,0,1820,1,3,2,1,4,1,2,2,30,3,2,1,4,1,587,1
1,4197,4,24,4,3,2872,2,5,3,1,3,1,4,1,36,3,2,1,3,2,587,1
1,4229,3,24,2,2,1925,1,3,2,1,3,1,2,1,26,3,2,1,3,1,587,1
1,4261,4,18,2,2,2515,1,3,3,1,3,1,4,1,43,3,2,1,3,1,587,1
1,4293,3,6,2,2,2116,1,3,2,1,3,1,2,1,41,3,2,1,3,1,708,1
1,4325,4,18,2,3,1453,1,2,3,1,2,1,1,1,26,3,2,1,3,1,514,1
1,4357,4,10,2,0,1364,1,3,2,1,2,1,4,3,64,3,2,1,3,1,587,1
1,4389,4,6,2,2,1543,4,3,4,1,1,1,2,1,33,3,2,1,3,1,587,1
1,4421,2,12,2,0,1318,4,5,4,0,3,1,4,1,54,3,2,1,3,1,587,1
1,4453,1,24,1,0,2325,2,4,2,0,3,1,3,3,32,1,2,1,3,1,708,1
1,4485,2,6,4,8,932,5,4,1,0,2,1,3,2,39,3,2,2,2,1,416,1
1,4517,3,24,4,3,3148,5,3,3,1,3,1,2,3,31,3,2,2,3,1,514,1
1,4549,4,36,2,3,3835,5,5,2,1,2,1,4,1,45,3,2,1,2,1,708,1
1,4581,4,9,2,6,3832,5,5,1,1,3,1,4,1,64,3,2,1,2,1,416,1
1,4613,2,24,2,3,5084,5,5,2,0,2,1,4,3,42,3,2,1,3,1,416,1
1,4645,4,9,4,2,2406,1,1,2,1,3,1,3,3,31,3,2,1,4,1,416,1
1,4677,4,36,2,3,2394,5,3,4,1,2,1,4,3,25,3,2,1,3,1,587,1
1,4709,4,21,2,1,2476,5,5,4,1,3,1,4,1,46,3,2,1,4,1,587,1
1,4741,1,24,2,1,2964,5,5,4,0,3,1,4,4,49,1,3,1,3,2,514,1
1,4773,1,12,2,2,1262,5,5,2,0,1,1,4,2,49,3,2,1,2,1,514,1
1,4805,4,12,2,9,1542,1,4,2,1,3,1,4,3,36,3,2,1,3,1,514,1
1,4837,2,24,4,3,1743,1,5,4,0,3,1,2,2,48,3,2,2,2,1,416,1
1,4869,3,12,1,3,409,4,3,3,1,2,1,3,1,42,3,1,2,3,1,708,1
1,4901,4,12,2,3,2171,1,2,2,1,2,1,2,3,29,1,2,1,3,1,587,1
1,4933,4,48,4,1,8858,5,4,2,1,3,1,1,4,35,3,3,2,3,1,416,1
1,4965,2,24,2,0,3512,2,4,2,0,3,1,3,3,38,1,2,2,3,1,416,1
1,4997,2,12,2,3,1158,3,3,3,0,1,1,1,3,26,3,2,1,3,1,587,1
1,5029,4,24,4,3,2684,1,3,4,1,3,1,2,1,35,3,2,2,2,1,416,1
1,5061,1,12,2,3,1498,1,3,4,0,2,1,1,3,23,1,2,1,3,1,514,1
1,5093,4,30,4,3,5954,1,4,3,1,3,2,2,3,38,3,2,1,3,1,587,1
1,5157,2,12,4,2,3617,1,5,1,0,3,1,4,3,28,3,1,3,3,1,587,1
1,5189,4,12,4,3,1291,1,3,4,1,2,1,2,2,35,3,2,2,3,1,708,1
1,5221,3,24,4,9,1275,4,3,2,1,1,1,4,1,36,3,2,2,3,1,416,1
1,5253,4,24,2,2,3972,1,4,2,1,2,1,4,2,25,3,1,1,3,1,708,1
1,5285,4,15,4,2,3343,1,3,4,1,3,1,2,4,28,3,3,1,3,1,514,1
1,5317,3,15,2,6,392,1,2,4,1,2,1,4,2,23,3,1,1,3,1,514,1
1,5349,4,9,4,0,2134,1,3,4,1,3,1,4,3,48,3,2,3,3,1,416,1
1,5381,4,30,4,3,5771,1,4,4,1,2,1,2,3,25,3,2,2,3,1,587,1
1,5413,4,24,4,9,4526,1,3,3,1,3,1,2,1,74,3,2,1,4,1,708,1
1,5445,4,15,4,2,2788,1,4,2,1,2,2,3,3,24,1,2,2,3,1,708,1
1,5477,4,6,4,3,1382,1,3,1,1,2,1,1,3,28,3,2,2,3,1,416,1
1,5509,3,36,2,3,5848,1,3,4,1,3,1,1,3,24,3,2,1,3,1,587,1
1,5573,3,12,2,3,1297,1,3,3,1,4,1,4,1,23,3,1,1,3,1,514,1
1,5605,4,24,2,3,1552,1,4,3,1,3,1,1,3,32,1,2,1,3,2,708,1
1,5637,4,12,2,3,1963,1,4,4,1,3,1,2,3,31,3,1,2,4,2,587,1
1,5669,4,24,2,3,3235,3,5,3,1,1,1,2,3,36,3,2,1,4,1,416,1
1,5701,4,24,4,9,4139,2,3,3,1,3,1,3,2,27,3,2,2,2,1,514,1
1,5733,2,12,4,1,1804,2,2,3,0,3,1,4,2,44,3,2,1,3,1,587,1
1,5765,4,18,2,9,1950,1,4,4,1,3,1,1,3,34,2,2,2,3,1,587,1
1,5797,4,48,3,3,12749,3,4,4,1,3,1,1,3,37,3,2,1,4,1,587,1
1,5829,4,9,2,4,1236,1,2,1,1,2,1,4,1,23,3,1,1,3,1,587,1
1,5861,4,18,4,0,1055,1,2,4,1,2,1,1,2,30,3,2,2,3,1,587,1
1,5893,1,30,0,9,8072,5,2,2,0,3,1,3,3,25,1,2,3,3,1,708,1
1,5925,4,30,4,3,2831,1,3,4,1,2,1,2,3,33,3,2,1,3,1,708,1
1,5957,4,9,2,9,1449,1,4,3,1,2,1,2,3,27,3,2,2,3,1,708,1
1,5989,4,36,2,9,5742,2,4,2,1,3,1,2,3,31,3,2,2,3,1,587,1
1,6021,4,12,2,0,2390,5,5,4,1,3,1,3,3,50,3,2,1,3,1,708,1
1,6053,4,24,2,3,3430,3,5,3,1,3,1,2,3,31,3,2,1,3,2,514,1
1,6085,2,36,2,6,2273,1,4,3,0,3,1,1,3,32,3,2,2,3,2,514,1
1,6117,3,21,2,0,2923,2,3,1,1,2,1,1,3,28,1,2,1,4,1,708,1
1,6149,4,24,2,3,1901,2,3,4,1,3,1,4,3,29,3,1,1,4,1,514,1
1,6181,2,36,2,6,3711,5,3,2,0,4,1,2,3,27,3,2,1,3,1,587,1
1,6213,2,48,2,0,8487,5,4,1,0,2,1,2,3,24,3,2,1,3,1,587,1
1,6245,4,24,2,0,2255,5,2,4,1,3,1,1,2,54,3,2,1,3,1,514,1
1,6277,4,12,2,3,1262,1,3,3,1,3,1,2,3,25,3,2,1,3,1,708,1
1,6309,4,33,4,1,7253,1,4,3,1,3,1,2,3,35,3,2,2,4,1,708,1
1,6341,4,6,4,0,6761,1,4,1,1,3,1,3,4,45,3,2,2,4,2,514,1
1,6373,4,18,4,2,1817,1,3,4,1,2,1,2,4,28,3,2,2,3,1,708,1
1,6405,4,12,2,3,2141,2,4,3,1,3,1,1,4,35,3,2,1,3,1,708,1
1,6437,4,48,1,9,3609,1,3,1,1,2,1,1,1,27,2,2,1,3,1,416,1
1,6469,4,30,2,3,2333,3,5,4,1,3,1,2,3,30,1,2,1,4,1,587,1
1,6501,4,28,1,1,7824,5,2,3,1,3,3,4,1,40,1,1,2,3,2,587,1
1,6533,3,18,1,3,1445,5,4,4,1,3,1,4,3,49,1,2,1,2,1,514,1
